516,520//516:水
26,521//026:汚水
601,522//601:空き瓶
519,523//519:染料
620,524,,,,,1//620:媚薬
559,525,,,,,1//559:エーテル抗体のポーション
432,526,,,,,1//432:突然変異のポーション
433,527,,,,,1//433:変異治療のポーション
287,528,,,,,1//287:潜在能力のポーション
711,529,,,,,1//711:進化のポーション
30,530,,,,,1//030:睡眠薬
262,531,,,,,1//262:毒薬
68,532,,,,,1//068:軽傷治癒のポーション
69,533,,,,,1//069:重症治癒のポーション
70,534,,,,,1//070:致命傷治癒のポーション
72,535,,,,,1//072:癒し手のポーション
74,536,,,,,1//074:癒し手オディナのポーション
75,537,,,,,1//075:白き癒し手エリスのポーション
76,538,,,,,1//076:聖なる癒し手ジュアのポーション
71,539,,,,,1//071:体力回復のポーション
27,540,,,,,1//027:盲目のポーション
28,541,,,,,1//028:混乱のポーション
29,542,,,,,1//029:麻痺のポーション
368,543,,,,,1//368:沈黙のポーション
382,544,,,,,1//382:脆弱のポーション
429,545,,,,,1//429:失耐性のポーション
376,546,,,,,1//376:鈍足のポーション
375,547,,,,,1//375:加速のポーション
370,548,,,,,1//370:トロールの血
626,549,,,,,1//626:ヘルメスの血
285,550,,,,,1//285:肉体復活のポーション
286,551,,,,,1//286:精神復活のポーション
372,552,,,,,1//372:元素耐性のポーション
364,553,,,,,1//364:防衛者のポーション
379,554,,,,,1//379:英雄気分のポーション
566,555,,,,,1//566:耐酸性コーティング液
736,556,,,,,1//736:耐熱性コーティング液
706,557,,,,,1//706:下落のポーション
18,560,,,,,1//018:鑑定の杖
202,561,,,,,1//202:千里眼の杖
19,562,,,,,1//019:テレポートの杖
290,563,,,,,1//290:願いの杖
480,564,,,,,1//480:支配の杖
517,565,,,,,1//517:変化の杖
518,566,,,,,1//518:錬金術の杖
545,567,,,,,1//545:壁生成の杖
581,568,,,,,1//581:扉生成の杖
570,569,,,,,1//570:炎の壁の杖
119,570,,,,,1//119:軽症治療の杖
203,571,,,,,1//203:癒しの杖
551,572,,,,,1//551:癒しの手の杖
125,573,,,,,1//125:生命の杖
391,574,,,,,1//391:魔力の杖
385,575,,,,,1//385:浄化の杖
412,576,,,,,1//412:解呪の杖
485,577,,,,,1//485:蜘蛛の巣の杖
121,578,,,,,1//121:サモンモンスターの杖
366,579,,,,,1//366:沈黙の杖
122,580,,,,,1//122:氷の視線の杖
123,581,,,,,1//123:炎の衝撃の杖
175,582,,,,,1//175:稲妻の軌跡の杖
120,583,,,,,1//120:マジックミサイルの杖
565,584,,,,,1//565:酸の滴るの杖
377,585,,,,,1//377:加速の杖
176,586,,,,,1//176:鈍足の杖
687,589,,,,,1//687:古書物
21,590,,,,,1//21:鑑定の魔法書
248,591,,,,,1//248:帰還の魔法書
246,592,,,,,1//246:魔法の地図の魔法書
410,593,,,,,1//410:物質感知の魔法書
367,594,,,,,1//367:沈黙の霧の魔法書
396,595,,,,,1//396:ナイトメアの魔法書
434,596,,,,,1//434:自己の変容の魔法書
628,597,,,,,1//628:インコグニートの魔法書
731,598,,,,,1//731:四次元ポケットの魔法書
397,599,,,,,1//397:知者の加護の魔法書
249,600,,,,,1//249:軽傷治癒の魔法書
250,601,,,,,1//250:致命傷治癒の魔法書
251,602,,,,,1//251:エリスの癒しの魔法書
252,603,,,,,1//252:ジュアの癒しの魔法書
548,604,,,,,1//548:治癒の雨の魔法書
550,605,,,,,1//550:癒しの手の魔法書
386,606,,,,,1//386:清浄なる光の魔法書
387,607,,,,,1//387:全浄化の魔法書
22,608,,,,,1//22:解呪の魔法書
365,609,,,,,1//365:聖なる盾の魔法書
369,610,,,,,1//369:リジェネレーションの魔法書
371,611,,,,,1//371:元素保護の魔法書
373,612,,,,,1//373:加速の魔法書
378,613,,,,,1//378:英雄の魔法書
383,614,,,,,1//383:ホーリーヴェイルの魔法書
710,615,,,,,1//710:契約の魔法書
20,616,,,,,1//20:テレポートの魔法書
116,617,,,,,1//116:ショートテレポートの魔法書
247,618,,,,,1//247:神託の魔法書
257,619,,,,,1//257:魔法の矢の魔法書
263,620,,,,,1//263:地獄の吐息の魔法書
265,621,,,,,1//265:麻痺の矢の魔法書
264,622,,,,,1//264:混沌の瞳の魔法書
660,623,,,,,1//660:暗黒の矢の魔法書
32,624,,,,,1//32:アイスボルトの魔法書
33,625,,,,,1//33:ファイアボルトの魔法書
34,626,,,,,1//34:ライトニングボルトの魔法書
267,627,,,,,1//267:暗黒の光線の魔法書
268,628,,,,,1//268:幻影の光線の魔法書
118,629,,,,,1//118:モンスター召喚の魔法書
269,630,,,,,1//269:アイスボールの魔法書
270,631,,,,,1//270:ファイアボールの魔法書
272,632,,,,,1//272:混沌の渦の魔法書
271,633,,,,,1//271:轟音の波動の魔法書
484,634,,,,,1//484:蜘蛛の巣の魔法書
546,635,,,,,1//546:壁生成の魔法書
289,636,,,,,1//289:願いの魔法書
374,637,,,,,1//374:鈍足の魔法書
380,638,,,,,1//380:脆弱の霧の魔法書
381,639,,,,,1//381:元素の傷跡の魔法書
564,640,,,,,1//564:酸の海の魔法書
569,641,,,,,1//569:炎の壁の魔法書
582,642,,,,,1//582:扉生成の魔法書
697,643,,,,,1//697:魔力の集積の魔法書
696,644,,,,,1//696:魔力の嵐の魔法書
481,645,,,,,1//481:支配の魔法書
732,646,,,,,1//732:収穫の魔法書
15,647,,,,,1//神託の巻物
363,648,,,,,1//*解呪*の巻物
288,649,,,,,1//呪縛の巻物
245,650,,,,,1//ショートテレポートの巻物
16,651,,,,,1//テレポートの巻物
236,652,,,,,1//帰還の巻物
638,653,,,,,1//脱出の巻物
549,654,,,,,1//治癒の雨の巻物
242,655,,,,,1//魔法の地図の巻物
411,656,,,,,1//物質感知の巻物
14,657,,,,,1//鑑定の巻物
362,658,,,,,1//*鑑定*の巻物
390,659,,,,,1//魔力の巻物
398,660,,,,,1//知恵の巻物
430,661,,,,,1//成長の巻物
243,662,,,,,1//能力獲得の巻物
244,663,,,,,1//不思議の巻物
395,664,,,,,1//マテリアル生成の巻物
384,665,,,,,1//ホーリーヴェイルの巻物
388,666,,,,,1//清浄なる光の巻物
389,667,,,,,1//全浄化の巻物
431,668,,,,,1//信仰の巻物
479,669,,,,,1//援軍の巻物
515,670,,,,,1//充填の巻物
17,671,,,,,1//インコグニートの巻物
709,672,,,,,1//契約の巻物
737,673,,,,,1//名前の巻物
632,674,,,,,1//羽の生えた巻物
500,675,,,,,1//劣悪素材の巻物
501,676,,,,,1//素材変化の巻物
502,677,,,,,1//*素材変化*の巻物
506,678,,,,,1//武器強化の巻物
507,679,,,,,1//*武器強化*の巻物
508,680,,,,,1//防具強化の巻物
509,681,,,,,1//*防具強化*の巻物
708,682,,,,,1//復活の書
209,689,,,,,1//解呪の巻物
505,558,,,,,1//505:妹の日記
624,559,,,,,1//624:お嬢様の日記
623,587,,,,,1//623:妹の秘密の日記
220,683//魚の死骸
240,684//宝箱
239,685//宝石で飾られた宝箱
621,686//宝の地図
667,687//妹が愛を込めて作ったお弁当
720,688,,,,,1//幸せのベッド
724,690//音楽チケット
233,691//兵糧
259,692//生麺
510,693//形見のカバン
