31,90//	031:クリムエール
253,91//253:ビア
392,92//392:硫酸
577,93//577:火炎瓶
422,80//422:モージア
423,81//423:マレイロン
424,82//424:スペンスウィード
425,83//425:キュラリア
426,84//426:アルローニア
427,85//427:ストマフィリア
705,165,,,,,1//705:《乞食のペンダント》
722,166,,,,,1//722:《アルバレスト》
723,167,,,,,1//723:《ツインエッジ》
740,168,,,,,1//740:《謎の貝》
558,198//558:オーロラリング
664,199//664:スピードの指輪
702,231,,,,,1//702:うさぎのしっぽ
718,232,,,,,1//718:《シーナのパンティー》
674,233,,,,,1//674:《ウィンチェスター・プレミアム》
675,234,,,,,1//675:《クミロミサイズ》
678,235,,,,,1//678:《ラッキーダガー》
514,236,,,,,1//514:《レールガン》
758,237,,,,,1//758:《マウザーC96カスタム》
726,238,,,,,1//726:《アル・ウード》
57,239,,,,,1//057:《斬鉄剣》
64,240,,,,,1//064:《モーンブレイド》

706,95,,,,,1//706:下落のポーション
379,94//379:英雄気分のポーション
240,400,,15//240:宝箱
257,401//257:魔法の矢の魔法書
365,403//365:聖なる盾の魔法書
378,404//378:英雄の魔法書
682,405,,,,,1//682:クミロミの活性化の宝玉
681,406,,,,,1//681:ジュアの聖なる雨の宝玉
680,407,,,,,1//680ルルウィの神速の宝玉
683,408,,,,,1//683:マニの再構築の宝玉
708,409//708:復活の書
505,410,,,,,1//505:妹の日記
623,411,,,,,1//623:妹の秘密の日記
624,412,,,,,1//624:お嬢様の日記
671,413,96,65,,,1//671:原子爆弾『Cat's Cradle』
687,414//687:古書物
516,415//516:水
26,416//26:汚水
375,417//375:加速のポーション
364,418//364:防衛者のポーション
732,421,,,,,1//732:収穫の魔法書
287,422,,,,,1//287:潜在能力のポーション
559,423//559:エーテル抗体のポーション
290,424,,,,,1//290:願いの杖

679,241,,,,,1//679:《大地の大槌》
206,242,,,,,1//206:《エーテルダガー》
727,243,,,,,1//727:《棘の盾》
676,244,,,,,1//676:《エレメンタルスタッフ》
358,245,,,,,1//358:《狂気の杖》
695,246,,,,,1//695:《破壊の斧》
677,247,,,,,1//677:《ホーリーランス》
359,248,,,,,1//359:《ランキス》
725,249,96,50,,,1//725:《キルキルピアノ》
56,250//56:《ディアボロス》
716,251,,,,,1//716:《バニラロック》
73,252,,,,,1//73:《ラグナロク》
207,253,,,,,1//207:《異形の森の弓》
673,254//673:《ウィンドボウ》
63,255,,,,,1//63:《虚無の大鎌》
739,256,,,,,1//739:《フリージアの尻尾》
356,257,,,,,1//356:《ブラッドムーン》

715,164,,10//715:クミロミの秘密の経験
357,300//357:《鋼鉄竜の指輪》
360,301//360:《パルミアプライド》
355,302//355:《火炎竜ヴェスダの篭手》
661,303,,,,,1//661:《ダル＝イ＝サリオン》
627,304,,,,,1//627:《賢者の兜》
728,305,,,,,1//728:《紅凛》